Date,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR,PS
2015-01-01,15.08,23.9,8.07,44.51,2.13,0.02,99.29
2015-01-02,15.76,21.34,11.84,59.67,1.87,3.9,99.39
2015-01-03,14.41,20.72,8.65,76.62,1.7,10.12,99.38
2015-01-04,13.53,21.5,8.12,62.98,3.58,0.0,99.46
2015-01-05,13.07,22.76,6.59,44.1,5.79,0.0,99.18
2015-01-06,13.18,22.39,6.79,53.13,3.72,0.0,99.03
2015-01-07,12.44,21.21,6.26,55.87,3.26,0.0,99.08
2015-01-08,12.37,21.56,5.4,46.51,3.31,0.0,99.31
2015-01-09,11.7,21.14,4.16,39.9,2.77,0.0,99.44
2015-01-10,11.06,21.41,3.7,39.1,3.75,0.0,99.36
2015-01-11,12.12,23.24,4.05,36.93,3.43,0.0,99.36
2015-01-12,12.38,23.75,4.22,36.56,2.69,0.0,99.37
2015-01-13,12.19,21.66,5.77,39.03,2.98,0.0,99.21
2015-01-14,11.4,18.59,6.95,54.93,2.76,1.91,99.21
2015-01-15,11.22,19.55,4.48,67.56,2.6,0.0,99.47
2015-01-16,12.44,21.28,5.15,63.7,2.58,0.0,99.45
2015-01-17,13.65,23.07,6.67,55.9,3.3,0.0,99.46
2015-01-18,13.31,22.65,5.81,49.93,3.23,0.0,99.38
2015-01-19,13.0,22.19,5.4,43.43,2.64,0.0,99.41
2015-01-20,12.11,20.73,6.31,41.27,2.06,0.0,99.51
2015-01-21,13.27,20.75,6.57,42.38,2.58,3.16,99.67
2015-01-22,12.51,17.75,8.77,77.98,2.4,8.36,99.63
2015-01-23,13.19,21.22,8.02,76.24,1.89,2.56,99.52
2015-01-24,13.47,21.91,7.21,65.8,2.83,0.0,99.52
2015-01-25,12.68,21.4,5.71,45.88,2.82,0.0,99.58
2015-01-26,12.54,18.94,8.32,62.71,1.54,3.26,99.53
2015-01-27,12.2,20.24,6.68,61.75,3.16,0.0,99.45
2015-01-28,10.65,19.39,3.91,49.46,3.22,0.0,99.33
2015-01-29,10.4,19.48,3.25,42.55,3.65,0.0,99.43
2015-01-30,11.27,20.93,3.67,39.83,4.26,0.0,99.56
2015-01-31,13.16,23.44,4.93,36.8,3.79,0.0,99.32
2015-02-01,15.43,22.99,8.46,36.56,1.96,0.0,99.32
2015-02-02,15.79,24.64,8.41,42.78,3.39,0.0,99.32
2015-02-03,15.43,24.27,10.38,54.67,3.42,0.85,99.54
2015-02-04,14.15,23.5,7.65,62.64,3.56,0.27,99.73
2015-02-05,13.58,23.98,5.91,48.36,3.23,0.0,99.47
2015-02-06,14.97,24.44,6.95,39.5,2.03,0.0,99.4
2015-02-07,17.1,25.35,9.1,41.55,1.97,0.03,99.25
2015-02-08,17.33,25.63,12.02,44.16,2.73,0.0,99.3
2015-02-09,16.05,25.79,8.59,48.01,3.25,0.01,99.5
2015-02-10,15.44,25.09,7.93,41.84,3.5,0.0,99.55
2015-02-11,15.63,24.56,8.34,39.12,2.69,0.0,99.28
2015-02-12,15.05,25.11,7.0,38.18,3.09,0.0,99.16
2015-02-13,16.75,26.8,7.21,31.5,3.55,0.0,98.86
2015-02-14,19.76,30.06,11.01,36.06,2.25,0.0,98.61
2015-02-15,20.34,28.85,12.35,36.57,1.85,0.0,98.81
2015-02-16,19.54,27.8,13.21,38.14,2.95,0.0,99.02
2015-02-17,19.98,28.07,11.5,44.14,1.66,0.0,98.82
2015-02-18,20.9,28.6,13.3,40.01,1.44,0.0,98.79
2015-02-19,21.93,29.97,14.03,38.16,2.3,0.02,98.84
2015-02-20,21.72,30.86,14.05,41.7,2.22,1.76,98.97
2015-02-21,21.76,30.78,14.16,38.26,3.65,0.0,99.03
2015-02-22,21.92,31.7,14.33,43.13,4.57,0.0,98.9
2015-02-23,21.29,27.64,14.98,41.13,2.19,0.0,99.04
2015-02-24,21.94,28.3,16.64,37.87,1.84,0.0,98.77
2015-02-25,21.87,30.09,14.51,36.4,3.63,0.47,98.49
2015-02-26,16.34,25.86,8.98,28.45,2.91,1.62,98.57
2015-02-27,16.5,27.23,7.74,26.4,2.78,0.1,98.82
2015-02-28,18.08,27.38,8.95,31.21,2.39,0.09,98.93
2015-03-01,16.35,19.81,13.44,83.57,6.12,27.24,98.75
2015-03-02,16.85,21.18,12.51,83.9,3.9,26.81,98.85
2015-03-03,16.16,23.5,10.93,64.28,2.49,1.41,98.97
2015-03-04,15.82,24.18,8.66,48.97,3.38,0.0,98.95
2015-03-05,17.74,26.78,10.2,40.01,2.29,0.0,99.12
2015-03-06,18.46,27.67,10.7,48.8,2.89,0.01,99.19
2015-03-07,20.17,28.18,12.13,49.87,2.07,0.81,98.99
2015-03-08,20.16,26.73,14.17,54.08,2.53,4.41,99.04
2015-03-09,16.15,25.17,9.29,47.22,3.74,2.32,99.54
2015-03-10,16.54,26.43,8.3,47.63,3.73,0.0,99.51
2015-03-11,18.59,28.65,9.57,36.23,3.09,0.0,99.34
2015-03-12,21.21,30.79,12.83,38.12,2.97,0.0,99.29
2015-03-13,21.59,28.81,15.22,49.15,2.22,0.23,99.03
2015-03-14,22.21,29.03,16.75,54.78,1.87,0.31,99.11
2015-03-15,18.91,24.5,15.03,72.64,4.93,6.41,99.14
2015-03-16,19.28,25.17,14.33,72.76,2.7,5.65,99.26
2015-03-17,20.14,27.8,12.82,58.38,3.89,0.0,99.21
2015-03-18,19.76,28.07,12.24,53.11,4.48,0.0,98.93
2015-03-19,20.42,29.55,11.32,43.09,3.14,0.0,99.04
2015-03-20,22.34,31.7,14.21,36.16,2.98,0.0,99.09
2015-03-21,23.63,32.78,15.89,38.75,3.03,0.0,99.12
2015-03-22,24.59,33.92,16.08,44.46,3.98,0.0,98.86
2015-03-23,25.01,34.34,17.84,42.03,3.66,0.0,98.62
2015-03-24,27.15,36.03,16.88,29.79,1.93,0.0,98.66
2015-03-25,27.91,36.34,21.63,30.21,1.45,0.0,98.84
2015-03-26,27.71,36.73,19.31,36.78,2.28,0.0,98.93
2015-03-27,27.68,36.88,20.55,35.96,3.3,0.0,98.89
2015-03-28,27.63,36.88,18.45,29.79,2.68,0.0,98.66
2015-03-29,24.35,30.64,18.32,40.5,3.37,5.23,98.51
2015-03-30,21.83,28.32,17.67,68.02,4.36,6.27,98.69
2015-03-31,24.69,31.89,16.72,57.66,2.17,0.01,98.69
2015-04-01,26.64,33.86,19.31,44.99,2.16,0.15,98.45
2015-04-02,27.81,35.98,20.84,40.13,2.04,0.07,98.14
2015-04-03,24.91,30.63,20.78,52.74,3.31,5.93,98.02
2015-04-04,21.05,25.46,17.35,72.93,1.77,16.39,98.14
2015-04-05,22.89,31.21,15.56,57.56,1.65,0.0,98.37
2015-04-06,24.24,32.35,16.36,41.36,2.67,0.0,98.44
2015-04-07,25.5,32.2,18.4,38.53,1.41,0.04,98.59
2015-04-08,25.1,32.78,19.15,42.84,2.63,0.25,98.78
2015-04-09,24.75,33.96,16.35,41.71,3.75,0.0,98.65
2015-04-10,25.8,35.48,16.67,39.39,3.51,0.0,98.51
2015-04-11,28.47,37.14,20.11,31.36,1.55,0.0,98.52
2015-04-12,26.52,33.75,19.78,44.0,1.99,5.35,98.86
2015-04-13,23.96,29.8,20.76,60.72,2.88,1.63,99.06
2015-04-14,25.23,31.78,18.86,54.6,1.94,0.44,98.99
2015-04-15,26.56,32.91,20.88,51.17,1.91,1.06,98.96
2015-04-16,27.36,34.74,21.06,48.23,2.26,0.09,99.03
2015-04-17,27.61,35.89,19.85,43.56,4.62,0.03,98.46
2015-04-18,30.0,39.47,20.91,37.8,4.2,0.0,97.92
2015-04-19,31.85,40.86,22.68,33.5,2.53,0.0,98.07
2015-04-20,31.42,39.54,23.56,32.27,3.07,0.01,98.29
2015-04-21,30.13,39.23,21.36,31.3,3.96,0.0,98.2
2015-04-22,29.57,39.65,20.05,27.18,4.16,0.0,98.0
2015-04-23,30.9,39.96,21.61,24.31,2.41,0.0,98.09
2015-04-24,33.69,40.47,27.26,17.76,0.94,0.0,98.15
2015-04-25,32.41,40.43,25.18,20.61,1.99,0.0,98.19
2015-04-26,28.83,36.31,21.6,43.9,3.84,0.01,98.51
2015-04-27,30.26,38.33,22.16,40.22,3.45,0.46,98.39
2015-04-28,31.56,38.9,23.38,41.71,2.29,3.02,98.16
2015-04-29,32.18,38.68,25.95,31.01,1.65,0.02,98.18
2015-04-30,32.23,40.36,23.92,30.15,2.84,0.0,98.15
2015-05-01,31.35,37.96,24.94,32.86,1.87,0.46,98.21
2015-05-02,31.28,38.43,25.02,30.17,2.41,0.11,98.27
2015-05-03,31.81,39.89,23.67,21.83,1.93,0.0,98.36
2015-05-04,32.98,40.75,25.21,18.21,1.69,0.0,98.36
2015-05-05,32.42,41.96,22.83,20.49,3.07,0.0,98.15
2015-05-06,33.6,43.54,22.55,15.9,5.26,0.0,97.9
2015-05-07,34.61,44.07,24.73,15.73,5.3,0.0,98.01
2015-05-08,34.67,43.2,26.72,15.84,4.51,0.0,98.0
2015-05-09,34.92,42.87,26.35,22.1,2.93,0.0,97.91
2015-05-10,35.4,43.43,26.91,22.23,2.86,0.0,97.87
2015-05-11,36.38,43.36,28.06,21.17,1.99,0.01,98.0
2015-05-12,35.39,41.05,29.91,24.32,1.74,0.61,98.13
2015-05-13,34.14,40.77,26.96,26.89,2.33,0.43,98.19
2015-05-14,33.0,39.37,26.3,27.4,2.3,1.04,98.35
2015-05-15,33.45,40.34,26.23,28.52,3.52,0.4,98.28
2015-05-16,34.35,40.08,28.62,26.33,1.33,2.3,98.05
2015-05-17,34.73,41.48,26.35,23.54,2.24,0.0,97.84
2015-05-18,37.02,43.84,27.88,20.02,1.92,0.0,97.73
2015-05-19,38.28,45.73,30.85,16.92,3.31,0.0,97.75
2015-05-20,36.09,43.55,28.62,17.14,5.78,1.53,97.89
2015-05-21,36.47,44.82,27.82,15.53,5.66,0.0,97.74
2015-05-22,37.27,45.41,28.68,15.6,5.33,0.0,97.55
2015-05-23,37.11,45.93,27.18,13.32,5.9,0.0,97.38
2015-05-24,37.6,46.44,27.0,12.83,3.62,0.17,97.42
2015-05-25,37.39,46.51,27.36,11.1,3.88,0.0,97.44
2015-05-26,36.83,46.34,27.23,10.41,5.33,0.31,97.6
2015-05-27,35.11,44.58,24.59,5.91,4.78,0.06,97.8
2015-05-28,35.3,43.77,25.5,9.12,3.76,0.0,97.71
2015-05-29,36.73,45.2,27.07,19.41,3.93,0.01,97.79
2015-05-30,36.96,44.1,28.7,19.94,4.03,0.0,97.9
2015-05-31,36.86,44.21,29.42,19.46,3.78,0.0,97.74
2015-06-01,35.93,42.92,29.9,17.44,2.21,0.38,97.72
2015-06-02,34.84,41.92,27.17,25.75,3.03,1.14,97.96
2015-06-03,35.07,41.81,27.57,22.55,1.91,0.44,97.99
2015-06-04,35.32,41.57,29.5,22.1,2.51,0.38,98.08
2015-06-05,35.16,42.29,26.78,23.04,2.99,0.1,98.04
2015-06-06,35.34,41.7,28.45,22.92,3.58,0.0,97.81
2015-06-07,36.5,43.9,27.94,20.99,3.65,0.0,97.67
2015-06-08,38.25,45.9,29.52,15.93,3.96,0.0,97.6
2015-06-09,39.17,46.13,31.6,17.4,5.88,0.0,97.54
2015-06-10,36.94,41.78,32.15,28.88,7.7,0.0,97.66
2015-06-11,37.54,43.82,31.31,26.36,6.02,0.5,97.69
2015-06-12,37.42,43.79,31.04,30.43,5.12,0.0,97.58
2015-06-13,34.92,39.07,29.87,38.4,3.05,17.22,97.52
2015-06-14,33.34,38.93,27.75,41.4,2.42,1.97,97.61
2015-06-15,34.0,40.24,27.77,41.44,2.12,0.01,97.63
2015-06-16,34.27,40.17,28.13,39.89,1.91,0.0,97.65
2015-06-17,35.21,41.86,28.92,34.04,2.16,0.0,97.53
2015-06-18,36.48,42.51,30.18,27.94,1.33,0.16,97.47
2015-06-19,37.43,43.84,30.48,24.54,2.09,0.03,97.39
2015-06-20,37.04,42.4,31.21,33.33,2.96,0.73,97.42
2015-06-21,35.87,40.14,31.22,39.34,2.18,6.06,97.43
2015-06-22,35.37,39.96,30.16,41.82,1.59,1.1,97.25
2015-06-23,36.54,42.37,31.58,36.13,1.56,2.29,97.16
2015-06-24,34.75,40.07,29.16,35.92,2.47,0.88,97.25
2015-06-25,28.15,30.14,25.5,70.72,3.01,37.14,97.21
2015-06-26,32.14,39.3,24.52,45.71,4.53,0.0,97.2
2015-06-27,33.22,39.86,26.65,50.18,4.97,0.09,97.34
2015-06-28,34.63,41.69,27.14,42.43,3.64,0.0,97.68
2015-06-29,33.99,39.55,27.88,44.21,2.34,2.3,98.0
2015-06-30,32.42,37.52,26.49,56.14,1.4,23.91,97.95
2015-07-01,32.91,38.36,26.8,53.1,1.75,7.07,97.88
2015-07-02,33.18,38.65,27.74,47.9,2.66,0.21,97.85
2015-07-03,34.64,40.92,28.25,45.94,4.44,0.31,97.67
2015-07-04,35.16,40.67,30.01,44.58,5.27,0.24,97.49
2015-07-05,34.77,41.18,29.15,52.07,4.16,11.07,97.25
2015-07-06,32.65,36.64,28.15,59.65,2.81,15.92,97.37
2015-07-07,32.06,34.76,29.15,59.36,0.68,12.8,97.45
2015-07-08,32.38,35.65,28.91,57.21,0.89,5.99,97.51
2015-07-09,32.35,36.08,29.15,57.66,1.43,3.88,97.51
2015-07-10,29.55,32.39,27.07,72.84,2.78,39.58,97.47
2015-07-11,28.07,31.08,25.52,83.68,3.69,88.39,97.63
2015-07-12,28.23,30.69,25.63,84.73,4.61,14.58,97.59
2015-07-13,28.8,32.62,25.7,81.41,1.95,2.7,97.74
2015-07-14,29.63,34.04,25.26,75.47,3.66,0.79,97.54
2015-07-15,30.34,35.42,26.3,71.28,5.54,0.32,97.14
2015-07-16,30.64,36.16,25.54,68.61,4.24,0.23,97.09
2015-07-17,30.3,34.34,26.0,73.01,1.49,1.87,97.36
2015-07-18,30.82,34.6,26.29,71.25,1.33,1.8,97.5
2015-07-19,29.82,32.87,26.11,73.89,1.06,2.12,97.5
2015-07-20,29.73,32.67,26.71,74.55,1.07,2.53,97.55
2015-07-21,30.32,34.4,26.52,74.48,1.91,1.53,97.72
2015-07-22,29.93,33.79,26.3,77.49,2.15,0.75,97.81
2015-07-23,30.02,34.13,26.61,77.08,2.71,0.02,97.87
2015-07-24,30.15,34.62,26.33,73.64,2.49,0.25,97.83
2015-07-25,30.17,34.42,26.02,72.54,2.62,5.96,97.64
2015-07-26,29.36,34.05,26.22,76.13,5.31,2.31,97.55
2015-07-27,29.31,34.1,25.1,75.26,4.5,1.11,97.65
2015-07-28,29.28,34.75,24.79,68.73,4.0,0.05,97.69
2015-07-29,29.01,34.49,23.76,71.34,4.24,0.1,97.48
2015-07-30,30.35,35.38,25.67,68.04,3.54,0.06,97.46
2015-07-31,29.58,33.84,25.55,70.69,3.51,5.45,97.58
2015-08-01,29.27,33.91,25.57,71.7,2.8,1.41,97.91
2015-08-02,28.98,33.8,25.25,70.87,1.65,6.3,98.06
2015-08-03,28.81,32.23,24.87,73.28,1.73,0.05,97.94
2015-08-04,31.78,36.38,25.67,59.94,1.51,0.03,97.72
2015-08-05,32.46,36.57,27.65,60.28,1.4,6.08,97.53
2015-08-06,31.91,36.18,27.89,64.01,2.14,7.19,97.49
2015-08-07,30.7,35.34,26.59,71.19,2.33,10.4,97.66
2015-08-08,29.76,33.64,26.35,76.37,2.55,22.71,97.82
2015-08-09,28.2,31.27,25.61,82.51,2.79,24.49,97.65
2015-08-10,30.43,34.63,25.38,69.25,1.57,7.23,97.68
2015-08-11,29.89,34.18,26.79,75.39,1.86,11.25,97.96
2015-08-12,29.7,33.3,25.59,76.23,1.23,3.86,98.03
2015-08-13,30.42,34.27,26.53,70.9,1.09,1.19,97.94
2015-08-14,30.97,34.18,27.26,73.42,1.02,1.66,97.86
2015-08-15,30.18,33.0,27.37,77.49,1.47,16.96,97.92
2015-08-16,29.2,32.64,26.02,81.09,1.88,7.79,97.99
2015-08-17,29.81,33.8,25.5,75.36,2.16,1.93,97.87
2015-08-18,30.22,34.64,26.0,74.1,2.94,3.97,97.89
2015-08-19,29.33,33.54,25.65,75.38,4.54,8.02,97.92
2015-08-20,28.9,33.4,25.33,74.58,4.58,4.02,97.85
2015-08-21,28.41,32.8,24.19,75.86,3.79,12.68,97.81
2015-08-22,28.44,32.42,23.62,73.38,3.42,4.86,97.76
2015-08-23,28.02,31.69,23.99,80.34,3.19,30.19,97.81
2015-08-24,28.0,32.52,24.13,78.91,3.89,1.85,97.9
2015-08-25,28.34,33.6,23.9,73.54,4.15,0.0,97.82
2015-08-26,28.67,34.03,23.25,71.78,3.56,0.01,97.84
2015-08-27,29.05,33.66,23.58,69.88,2.16,10.03,97.92
2015-08-28,29.6,34.89,24.07,68.29,2.69,0.01,97.95
2015-08-29,29.47,34.98,24.49,70.99,3.17,5.38,97.84
2015-08-30,29.46,34.93,24.83,68.83,3.71,0.0,97.82
2015-08-31,28.7,35.1,23.14,66.0,4.29,0.78,97.9
2015-09-01,28.63,34.94,23.14,60.38,4.61,0.01,97.79
2015-09-02,28.29,35.11,22.37,58.17,4.17,0.01,97.84
2015-09-03,28.34,35.1,21.27,58.59,3.47,0.79,98.19
2015-09-04,28.1,35.93,21.34,53.54,3.63,0.01,98.49
2015-09-05,28.1,36.0,21.18,51.1,4.12,0.0,98.43
2015-09-06,28.6,36.29,21.55,50.86,3.9,0.0,98.34
2015-09-07,28.95,36.45,22.0,52.16,3.72,0.0,98.26
2015-09-08,29.19,36.93,22.27,51.16,4.35,0.0,98.24
2015-09-09,29.28,37.86,21.73,48.71,4.44,0.0,98.22
2015-09-10,29.13,37.39,21.84,46.31,3.84,0.0,98.36
2015-09-11,29.26,37.46,20.89,46.92,3.14,0.0,98.3
2015-09-12,30.55,37.91,23.43,43.63,1.68,0.07,98.3
