system:index,Date,Sentinel_AAI,Sentinel_NO2,.geo
1,2018-06-29,-1.3736333778516583,8.039401928117836E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2018-06-30,-0.6928459633512107,5.442713332884667E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2018-07-01,-0.3895470169340141,4.099553644066759E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2018-07-02,-0.3522927634709966,4.908162137688895E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2018-07-03,-0.6549408529881705,1.2303118272854622E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2018-07-04,-0.39161653467693736,1.0240787657535208E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2018-07-05,0.48856412970693625,6.845975140642865E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2018-07-06,0.9062584067469005,6.674855356873861E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2018-07-07,0.3506525785846323,7.470930909342572E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2018-07-08,-0.13043722955116785,8.960414527037039E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2018-07-09,-0.6607304711639118,1.0466093367845935E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2018-07-10,-0.6230011584276469,8.377793874198444E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2018-07-11,-0.45703395784365186,5.31480363861192E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2018-07-12,0.05714722458654618,4.01670768042095E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2018-07-14,-1.1975351196443462,9.33743319873718E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2018-07-15,-1.6043870820143815,5.743331851620017E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2018-07-16,-0.6595853521759714,4.1414994484512135E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2018-07-18,-0.6485336692461052,6.934178379542406E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
