Ward_Name,Ward_No,Traffic_Feature_Count,Construction_Count,Industrial_Count,Sensitive_Count,Total_Source_Count,Traffic_%,Construction_%,Industrial_%,Dominant_Source,Confidence
DELHI CANTT CHARGE 1,CANT_1,62,0,0,0,62,100.0,0.0,0.0,Traffic Emission,High
DELHI CANTT CHARGE 2,CANT_2,231,0,0,3,231,100.0,0.0,0.0,Traffic Emission,High
DELHI CANTT CHARGE 4,CANT_4,449,4,1,5,454,98.89867841409692,0.881057268722467,0.22026431718061676,Traffic Emission,High
DELHI CANTT CHARGE 5,CANT_5,230,1,0,3,231,99.56709956709958,0.4329004329004329,0.0,Traffic Emission,High
DELHI CANTT CHARGE 6,CANT_6,1202,2,4,9,1208,99.50331125827815,0.16556291390728478,0.33112582781456956,Traffic Emission,High
DELHI CANTT CHARGE 7,CANT_7,521,0,0,3,521,100.0,0.0,0.0,Traffic Emission,High
DELHI CANTT CHARGE 8,CANT_8,220,1,3,7,224,98.21428571428571,0.4464285714285714,1.3392857142857142,Traffic Emission,High
DELHI CANTT CHARGE 3,CANT_3,294,0,0,2,294,100.0,0.0,0.0,Traffic Emission,High
NDMC CHARGE 1,NDMC_1,1006,0,0,5,1006,100.0,0.0,0.0,Traffic Emission,High
NDMC CHARGE 2,NDMC_2,553,0,0,6,553,100.0,0.0,0.0,Traffic Emission,High
NDMC CHARGE 3,NDMC_3,731,2,1,7,734,99.59128065395095,0.2724795640326975,0.13623978201634876,Traffic Emission,High
NDMC CHARGE 4,NDMC_4,855,3,0,2,858,99.65034965034964,0.34965034965034963,0.0,Traffic Emission,High
NDMC CHARGE 5,NDMC_5,1715,3,0,7,1718,99.82537834691502,0.17462165308498254,0.0,Traffic Emission,High
NDMC CHARGE 7,NDMC_7,521,2,0,2,523,99.61759082217974,0.3824091778202677,0.0,Traffic Emission,High
NDMC CHARGE 8,NDMC_8,419,11,0,3,430,97.44186046511628,2.558139534883721,0.0,Traffic Emission,High
NDMC CHARGE 9,NDMC_9,1914,4,0,6,1918,99.79144942648593,0.20855057351407716,0.0,Traffic Emission,High
NDMC CHARGE 6,NDMC_6,5,0,0,5,5,100.0,0.0,0.0,Traffic Emission,High
CHANDNI CHOWK,80,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
MINTO ROAD,81,0,0,0,3,0,0.0,0.0,0.0,Unknown,No Data
KUCHA PANDIT,82,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BAZAR SITARAM,83,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
IDGAH ROAD,85,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KHYALA,108,0,0,0,3,0,0.0,0.0,0.0,Unknown,No Data
JANAK PURI NORTH,109,0,0,0,6,0,0.0,0.0,0.0,Unknown,No Data
MUKHERJEE NAGAR,11,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
JANAK PURI WEST,117,0,0,0,5,0,0.0,0.0,0.0,Unknown,No Data
JANAK PURI SOUTH,118,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
MILAP NAGAR,119,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SITA PURI,120,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
CHHAWLA,133,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
NANGLI SAKRAVATI,134,0,1,0,2,1,0.0,100.0,0.0,Construction Activity,High
KAKRAULA,135,0,2,0,11,2,0.0,100.0,0.0,Construction Activity,High
KHERA,140,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
DILSHAD GARDEN,241,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
NEW SEEMA PURI,242,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
NAND NAGRI,243,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SUNDER NAGARI,244,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
DURGA PURI,245,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
ASHOK NAGAR,246,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
RAM NAGAR,247,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
WELCOME COLONY,248,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
CHAUHAN BANGER,249,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
ZAFFRABAD,250,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MAUJPUR,252,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
GHONDA,255,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
YAMUNA VIHAR,256,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SUBHASH MOHALLA,257,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KARDAM PURI,258,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
JANTA COLONY,259,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BABAR PUR,260,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
JIWANPUR,261,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
GOKALPUR,262,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SABOLI,263,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
HARSH VIHAR,264,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SHIV VIHAR,265,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KARAWAL NAGAR EAST,266,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MUSTAFABAD,268,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KHAJOORI KHAS,269,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
KARAWAL NAGAR WEST,271,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SONIA VIHAR,272,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
NIZAMUDDIN,154,10,3,0,3,13,76.92307692307693,23.076923076923077,0.0,Traffic Emission,High
BHOGAL,156,0,1,0,3,1,0.0,100.0,0.0,Construction Activity,High
KASTURBA NAGAR,157,0,1,1,8,2,0.0,50.0,50.0,Construction Activity,Medium
AMAR COLONY,160,0,0,0,7,0,0.0,0.0,0.0,Unknown,No Data
MALVIYA NAGAR,161,8,0,0,7,8,100.0,0.0,0.0,Traffic Emission,High
HAUZ RANI,162,0,0,0,7,0,0.0,0.0,0.0,Unknown,No Data
ANDREWSGANJ,159,0,0,0,8,0,0.0,0.0,0.0,Unknown,No Data
VASANT VIHAR,165,1318,1,0,7,1319,99.92418498862776,0.0758150113722517,0.0,Traffic Emission,High
MUNIRKA,166,1243,0,0,2,1243,100.0,0.0,0.0,Traffic Emission,High
NANAK PURA,168,914,0,0,4,914,100.0,0.0,0.0,Traffic Emission,High
VASANTKUNJ,171,289,0,0,4,289,100.0,0.0,0.0,Traffic Emission,High
DAKSHINPURI EXT.,180,0,0,1,2,1,0.0,0.0,100.0,Industrial Pollution,High
KHANPUR,181,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
AMBEDKAR NAGAR,182,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MADANGIR,183,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
PUSHP VIHAR,184,0,0,0,5,0,0.0,0.0,0.0,Unknown,No Data
TUGHLAKABAD EXTN,185,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
SANGAM VIHAR CENTRAL,187,0,0,1,0,1,0.0,0.0,100.0,Industrial Pollution,High
SANGAM VIHAR EAST,188,0,0,0,3,0,0.0,0.0,0.0,Unknown,No Data
CHIRAG DELHI,189,0,0,0,6,0,0.0,0.0,0.0,Unknown,No Data
CHITRANJAN PARK,190,0,0,0,10,0,0.0,0.0,0.0,Unknown,No Data
SHAPUR JAT,191,0,0,0,5,0,0.0,0.0,0.0,Unknown,No Data
GREATER KAILASH-I,192,0,2,0,10,2,0.0,100.0,0.0,Construction Activity,High
SRI NIWASPURI,193,0,2,5,1,7,0.0,28.57142857142857,71.42857142857143,Industrial Pollution,High
EAST OF KAILASH,194,0,0,0,3,0,0.0,0.0,0.0,Unknown,No Data
GOVIND PURI,195,0,0,0,2,0,0.0,0.0,0.0,Unknown,No Data
KALKAJI,196,0,1,0,2,1,0.0,100.0,0.0,Construction Activity,High
TUGHLAKABAD,197,0,1,4,6,5,0.0,20.0,80.0,Industrial Pollution,High
PUL PEHLAD,198,0,0,1,0,1,0.0,0.0,100.0,Industrial Pollution,High
TEKHAND,199,0,0,4,0,4,0.0,0.0,100.0,Industrial Pollution,High
HARKESH NAGAR,200,0,1,16,1,17,0.0,5.88235294117647,94.11764705882352,Industrial Pollution,High
JAITPUR,201,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MEETHEYPUR,202,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BADAR PUR,203,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MOLARBAND,204,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
OKHLA,206,0,2,3,3,5,0.0,40.0,60.0,Industrial Pollution,Medium
TURKMAN GATE,84,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BALLIMARAN,86,0,0,0,1,0,0.0,0.0,0.0,Unknown,No Data
RAM NAGAR,87,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
QASABPURA,88,0,1,0,4,1,0.0,100.0,0.0,Construction Activity,High
PAHAR GANJ,89,24,0,0,5,24,100.0,0.0,0.0,Traffic Emission,High
SADH NAGAR,146,0,0,0,2,0,0.0,0.0,0.0,Unknown,No Data
PUSA,150,246,0,2,0,248,99.19354838709677,0.0,0.8064516129032258,Traffic Emission,High
INDER PURI,151,599,0,0,0,599,100.0,0.0,0.0,Traffic Emission,High
NARAINA,152,634,0,3,1,637,99.52904238618524,0.0,0.47095761381475665,Traffic Emission,High
DEOLI,173,0,0,0,3,0,0.0,0.0,0.0,Unknown,No Data
CHHATARPUR,174,652,0,1,0,653,99.8468606431853,0.0,0.1531393568147014,Traffic Emission,High
AYA NAGAR,175,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
BHATI,176,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
MADANPUR KHADAR,207,0,0,0,0,0,0.0,0.0,0.0,Unknown,No Data
SARITA VIHAR,208,0,1,2,0,3,0.0,33.33333333333333,66.66666666666666,Industrial Pollution,Medium
GHONDLI,231,0,0,0,2,0,0.0,0.0,0.0,Unknown,No Data
