Ward_Name,Ward_No,Dominant_Source,Confidence
DELHI CANTT CHARGE 1,CANT_1,Traffic Emission,High
DELHI CANTT CHARGE 2,CANT_2,Traffic Emission,High
DELHI CANTT CHARGE 4,CANT_4,Traffic Emission,High
DELHI CANTT CHARGE 5,CANT_5,Traffic Emission,High
DELHI CANTT CHARGE 6,CANT_6,Traffic Emission,High
DELHI CANTT CHARGE 7,CANT_7,Traffic Emission,High
DELHI CANTT CHARGE 8,CANT_8,Traffic Emission,High
DELHI CANTT CHARGE 3,CANT_3,Traffic Emission,High
NDMC CHARGE 1,NDMC_1,Traffic Emission,High
NDMC CHARGE 2,NDMC_2,Traffic Emission,High
NDMC CHARGE 3,NDMC_3,Traffic Emission,High
NDMC CHARGE 4,NDMC_4,Traffic Emission,High
NDMC CHARGE 5,NDMC_5,Traffic Emission,High
NDMC CHARGE 7,NDMC_7,Traffic Emission,High
NDMC CHARGE 8,NDMC_8,Traffic Emission,High
NDMC CHARGE 9,NDMC_9,Traffic Emission,High
NDMC CHARGE 6,NDMC_6,Traffic Emission,High
CHANDNI CHOWK,80,Unknown,No Data
MINTO ROAD,81,Unknown,No Data
KUCHA PANDIT,82,Unknown,No Data
BAZAR SITARAM,83,Unknown,No Data
IDGAH ROAD,85,Unknown,No Data
KHYALA,108,Unknown,No Data
JANAK PURI NORTH,109,Unknown,No Data
MUKHERJEE NAGAR,11,Unknown,No Data
JANAK PURI WEST,117,Unknown,No Data
JANAK PURI SOUTH,118,Unknown,No Data
MILAP NAGAR,119,Unknown,No Data
SITA PURI,120,Unknown,No Data
CHHAWLA,133,Unknown,No Data
NANGLI SAKRAVATI,134,Construction Activity,High
KAKRAULA,135,Construction Activity,High
KHERA,140,Unknown,No Data
DILSHAD GARDEN,241,Unknown,No Data
NEW SEEMA PURI,242,Unknown,No Data
NAND NAGRI,243,Unknown,No Data
SUNDER NAGARI,244,Unknown,No Data
DURGA PURI,245,Unknown,No Data
ASHOK NAGAR,246,Unknown,No Data
RAM NAGAR,247,Unknown,No Data
WELCOME COLONY,248,Unknown,No Data
CHAUHAN BANGER,249,Unknown,No Data
ZAFFRABAD,250,Unknown,No Data
MAUJPUR,252,Unknown,No Data
GHONDA,255,Unknown,No Data
YAMUNA VIHAR,256,Unknown,No Data
SUBHASH MOHALLA,257,Unknown,No Data
KARDAM PURI,258,Unknown,No Data
JANTA COLONY,259,Unknown,No Data
BABAR PUR,260,Unknown,No Data
JIWANPUR,261,Unknown,No Data
GOKALPUR,262,Unknown,No Data
SABOLI,263,Unknown,No Data
HARSH VIHAR,264,Unknown,No Data
