Feature,Importance
PM2.5,0.3344957
AQI,0.26202923
AQI_MA3,0.106112316
PM10,0.072232366
AQI_MA7,0.043144453
Rainfall,0.019167826
NOx,0.011913513
PM10_Diff,0.010682022
CO,0.010098905
MODIS_AOD_MA7,0.00989349
PM25_MA3,0.008711731
NO2,0.008390497
Humidity_Change,0.008167659
PM25_Diff,0.008159117
CO_NO2_Ratio,0.007540997
Wind_Change,0.0064190435
MODIS_AOD,0.0063526076
AQI_Lag1,0.0062844525
Wind_Humidity_Index,0.0061141313
PM10_MA3,0.0056519425
PM25_PM10_Ratio,0.0054730047
O3,0.005346545
Wind_Lag1,0.0053264326
AQI_Lag7,0.004977635
NH3,0.0047478266
Benzene,0.0046599503
SO2,0.0046374816
NO,0.004594931
Temperature_Change,0.0044361087
Wind_Speed,0.0042378632
